Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/StorageTier,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value,Snapshots/KmsKeyId
,false,874747637540,100%,snap-08b4ec9f683952d3b,2020-04-07T06:29:37.968Z,completed,vol-062bea2b46c00419d,300,Name,influxdb,spotinst:aws:ec2:group:id,sig-88a9e130,MaintainedBY,DevOps,CreatedBy,terraform,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:createdBy,spotinst,,,standard,,,,,
,false,874747637540,100%,snap-0b1fcd7f262117671,2020-04-07T06:19:39.022Z,completed,vol-062bea2b46c00419d,300,Name,influxdb,CreatedBy,terraform,spotinst:aws:ec2:group:id,sig-88a9e130,MaintainedBY,DevOps,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:accountId,act-f0a7c0de,,,standard,,,,,
,false,874747637540,100%,snap-091bf788582155f5f,2020-04-07T06:09:44.020Z,completed,vol-062bea2b46c00419d,300,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-88a9e130,CreatedBy,terraform,spotinst:accountId,act-f0a7c0de,Name,influxdb,MaintainedBY,DevOps,,,standard,,,,,
,false,874747637540,100%,snap-0e56c55d4faddd1b1,2020-01-15T12:24:37.905Z,completed,vol-0c0a11fe40b4a3397,500,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:id,sig-6ea030d4,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-06dab48c85ce76e37,2020-01-15T12:29:38.694Z,completed,vol-0c0a11fe40b4a3397,500,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-6ea030d4,spotinst:accountId,act-f0a7c0de,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-008fce35593b5f44a,2022-02-16T11:35:11.571Z,completed,vol-0ad9c6e0d05b997ce,900,Snapshot,true,spotinst:accountId,act-f0a7c0de,MaintainedBY,DevOps,spotinst:aws:ec2:group:createdBy,spotinst,Name,jenkins-master,spotinst:aws:ec2:group:id,sig-d0e51e82,CreatedBy,terraform,standard,,,,,
,false,874747637540,100%,snap-0f8634c0698d2db91,2022-02-16T11:25:12.145Z,completed,vol-0ad9c6e0d05b997ce,900,Snapshot,true,spotinst:accountId,act-f0a7c0de,MaintainedBY,DevOps,Name,jenkins-master,spotinst:aws:ec2:group:id,sig-d0e51e82,CreatedBy,terraform,spotinst:aws:ec2:group:createdBy,spotinst,standard,,,,,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-04dd53847e2de601d,2022-02-16T00:17:20.568Z,completed,vol-099b9a51d2951d538,30,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,MaintainedBY,DevOps,Snapshot,true,Name,sonarqube,SnapshotCreator,DLM,standard,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,
created by script,false,874747637540,100%,snap-02f6714d67d3e4f54,2022-01-31T07:43:38.036Z,completed,vol-0ad9c6e0d05b997ce,900,Name,jenkins-master,,,,,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-04f2bf616fbd18f6f,2022-01-20T15:50:13.365Z,completed,vol-045f789c0bb872a97,8,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-5d6defff,spotinst:accountId,act-f0a7c0de,Snapshot,true,MaintainedBY,DevOps,Name,prometheus,CreatedBy,terraform,standard,,,,,
